"","score","text","review"
"125",0,"RT @ndtv: Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi #PNBScam #PNBF…","neutral"
"126",0,"Infact We could have find a better way to tell world ""How incompetent our govt is"" !<ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>
Govt is supposed to ""Facilita… https://t.co/HevksA0UdE","neutral"
"127",0,"After #PNBScam, @RBI has discontinued the issuance of LoUs and Letter of Comfort (LoC) for import trade credits. Bu… https://t.co/SyqwzK5AtR","neutral"
"128",1,"RT @apnnewsindia: #PNBScam case: #CBI arrested Hasmukh Shah, an ex Director&amp; authorized signatory of M/s Forever Precious Jewellery and Dia…","positive"
"129",0,"Nirav Modi effect: RBI stops Letters of Undertaking (LoUs) for overseas credit https://t.co/OdlGCr368e

#NiravModi… https://t.co/ac5Bb17fHf","neutral"
"130",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"131",0,"RT @subhashpathak: In 2016, whistleblower Hari Prasad SV had written a letter to #pmoindia informing Govt about #PNBscam. The letter failed…","neutral"
"132",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"133",2,"RT @NH_India: #Congress President Rahul Gandhi alleged that Finance Minister Arun Jaitley was silent on the #PNBFraud case to ""protect his…","positive"
"134",-1,"LoC and LoU, both are headache! #India #PNBFraudCase #PNBScam","negative"
"135",1,"RT @report_real: It's now revealed that our FM Arun Jaitley's silence on the #PNBScam was to protect his lawyer daughter: Congress Presiden…","positive"
"136",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"137",-1,"RT @NewsX: P Chidambaram on bank fraud case: It’s all happening in one sector-jewelry; key players from Gujarat
#Chidambaram #Gujarat #Nira…","negative"
"138",-1,"RT @The_Nishit: Another horrible &amp; tyrannical order by RBI/Govt.!!
Its like punishing the whole class just because 1-2 student didn't compl…","negative"
"139",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"140",0,"RT @atmadiprayET: Death of a banking instrument: RBI banned Letter of Undertaking or Letter of Comfort for trade finance for importing good…","neutral"
"141",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
"142",0,"RT @firstpost: The #RBI said the decision to discontinue the practice of #LoUs and #LettersofComfort (LoCs) for trade finance comes into fo…","neutral"
"143",0,"RT @dna: #PNBScam: RBI bans use of LoUs for trade credit for imports https://t.co/YEUrpZULbH https://t.co/ElD99S2drE","neutral"
